Date,Avg Price (All),S&P Close,USD FX Index,DOW DJI Close,Emerging Market ETF
3/14/2017,54.37285714,2365.45,100.74,20837.37,34.42
3/13/2017,55.07178571,2373.47,101.7,20881.48,34.62
3/10/2017,55.33785714,2372.6,101.25,20902.98,34.18
3/9/2017,55.405,2364.87,101.85,20858.19,33.9
3/8/2017,57.60178571,2362.98,102.07,20855.73,34.19
3/7/2017,58.32714286,2368.39,101.81,20924.76,34.54
3/6/2017,58.11142857,2375.31,101.64,20954.34,34.49
3/3/2017,57.77178571,2383.12,101.54,21005.71,34.44
3/2/2017,57.71035714,2381.92,102.2,21002.97,34.15
3/1/2017,58.58892857,2395.96,101.78,21115.55,34.77
2/28/2017,57.96642857,2363.64,101.12,20812.24,34.22
2/27/2017,58.55928571,2369.75,101.13,20837.44,34.52
2/24/2017,58.62142857,2367.34,101.09,20821.76,34.66
2/23/2017,59.18821429,2363.81,101.05,20810.32,35.03
2/22/2017,58.41178571,2362.82,101.33,20775.6,35.02
2/21/2017,59.27464286,2365.38,101.37,20743,34.93
2/20/2017,58.55214286,#N/A,#N/A,#N/A,#N/A
2/17/2017,58.04714286,2351.16,100.95,20624.05,34.64
2/16/2017,58.01964286,2347.22,100.44,20619.77,34.76
2/15/2017,58.19678571,2349.25,101.18,20611.86,34.86
2/14/2017,58.5275,2337.58,101.25,20504.41,34.6
2/13/2017,57.98571429,2328.25,100.96,20412.16,34.55
2/10/2017,58.94571429,2316.1,100.8,20269.37,34.41
2/9/2017,58.03357143,2307.87,100.65,20172.4,34.1
2/8/2017,57.98321429,2294.67,100.28,20054.34,33.93
2/7/2017,57.59321429,2293.08,100.26,20090.29,33.66
2/6/2017,58.33571429,2292.56,99.91,20052.42,33.79
2/3/2017,59.10571429,2297.42,99.87,20071.46,33.87
2/2/2017,59.11785714,2280.85,99.85,19884.91,33.65
2/1/2017,58.74071429,2279.55,99.64,19890.94,33.54
1/31/2017,58.61821429,2278.87,99.51,19864.09,33.47
1/30/2017,57.94535714,2280.9,100.43,19971.13,33.45
1/26/2017,58.70214286,2296.68,100.38,20100.91,33.58
1/24/2017,58.14464286,2280.07,100.35,19912.71,33.43
1/23/2017,58.03892857,2265.2,100.16,19799.85,33.19
1/20/2017,57.99571429,2271.31,100.74,19827.25,32.74
1/19/2017,57.075,2263.69,101.15,19732.4,32.69
1/18/2017,57.715,2271.89,100.93,19804.72,32.78
1/17/2017,58.16,2267.89,100.33,19826.77,32.9
1/16/2017,57.79214286,#N/A,#N/A,#N/A,#N/A
1/13/2017,57.895,2274.64,101.18,19885.73,32.94
1/12/2017,58.16571429,2270.44,101.35,19891,32.97
1/11/2017,57.41857143,2275.32,101.78,19954.28,32.89
1/10/2017,56.91571429,2268.9,102.01,19855.53,32.61
1/9/2017,57.7375,2268.9,101.93,19887.38,32.43
1/6/2017,58.76214286,2276.98,102.22,19963.8,32.49
1/5/2017,58.06821429,2269,101.52,19899.29,32.62
1/4/2017,57.80714286,2270.75,102.7,19942.16,32.28
1/3/2017,58.10964286,2257.83,103.21,19881.76,31.99
12/30/2016,58.20892857,2238.83,102.39,19762.6,31.65
12/29/2016,58.40321429,2249.26,102.68,19819.78,31.81
12/28/2016,58.53071429,2249.92,103.26,19833.68,31.33
12/27/2016,58.53071429,2268.88,103.02,19945.04,31.13
12/23/2016,57.3125,2263.79,103.01,19933.81,30.98
12/22/2016,57.62071429,2260.96,103.09,19918.88,30.83
12/21/2016,57.59142857,2265.18,103.02,19941.96,31.12
12/20/2016,58.2075,2270.76,103.29,19974.62,31.22
12/19/2016,57.525,2262.53,103.14,19883.06,31.17
12/16/2016,57.44535714,2258.07,102.95,19843.41,31.38
12/15/2016,56.27571429,2262.03,103.13,19852.24,31.57
12/14/2016,57.33821429,2253.28,102,19792.53,31.43
12/13/2016,57.65821429,2271.72,101.03,19911.21,32.37
12/12/2016,57.77428571,2256.96,100.96,19796.43,32.04
12/9/2016,56.42107143,2259.53,101.57,19756.85,32.3
12/8/2016,56.06178571,2246.19,101.07,19614.81,32.45
12/7/2016,56.03714286,2241.35,100.23,19549.62,32.3
12/6/2016,56.36428571,2212.23,100.49,19251.78,31.83
12/5/2016,57.11107143,2204.71,100.14,19216.24,31.7
12/2/2016,56.50678571,2191.95,100.77,19170.42,31.48
12/1/2016,56.50107143,2191.08,101.04,19191.93,31.52
11/30/2016,54.00785714,2198.81,101.5,19123.58,31.88
11/29/2016,51.65428571,2204.66,100.93,19121.6,31.83
11/28/2016,52.92607143,2201.72,101.33,19097.9,31.81
11/25/2016,52.1825,2213.35,101.49,19152.14,31.65
11/24/2016,53.12178571,#N/A,#N/A,#N/A,#N/A
11/23/2016,53.01321429,2204.72,101.7,19083.18,31.48
11/22/2016,52.76,2202.94,101.04,19023.87,31.79
11/21/2016,52.79321429,2198.18,101.05,18956.69,31.45
11/18/2016,50.92392857,2181.9,101.21,18867.93,31.14
11/17/2016,51.08464286,2187.12,100.89,18903.82,31.21
11/16/2016,51.39964286,2176.94,100.41,18868.14,31.2
11/15/2016,50.90571429,2180.39,100.19,18923.06,31.46
11/14/2016,49.06892857,2164.2,100.11,18868.69,30.88
11/11/2016,49.46178571,2164.45,#N/A,18847.66,31.03
11/10/2016,50.45107143,2167.48,98.79,18807.88,31.61
11/9/2016,50.39285714,2163.26,98.5,18589.69,32.55
11/8/2016,50.41571429,2139.56,97.86,18332.74,33.43
11/7/2016,49.93964286,2131.52,97.78,18259.6,33.27
11/4/2016,49.945,2085.18,#N/A,17888.28,32.18
11/3/2016,50.545,2088.66,97.07,17930.67,32.52
11/2/2016,50.70928571,2097.94,97.16,17959.64,32.6
11/1/2016,51.90571429,2111.72,97.4,18037.1,32.98
10/31/2016,52.37357143,2126.15,97.7,18142.42,33.23
10/28/2016,54.02714286,2126.41,#N/A,18161.19,32.96
10/27/2016,54.23678571,2133.04,98.35,18169.68,33.15
10/26/2016,54.03428571,2139.43,98.89,18199.33,33.4
10/25/2016,54.1675,2143.16,98.63,18169.27,33.65
10/24/2016,54.49107143,2151.33,98.72,18223.03,33.68
10/21/2016,54.89892857,2141.16,#N/A,18145.71,33.51
10/20/2016,54.785,2141.34,98.7,18162.35,33.5
10/19/2016,55.8225,2144.29,98.32,18202.62,33.54
